Calle,Triana,35002,Las Palmas de Gran Canaria,Gran Canaria,Las Palmas
Avenida,Marítima,38004,San Sebastián de la Gomera,La Gomera,Santa Cruz de Tenerife
Calle,de la Luz,38400,Puerto de la Cruz,Tenerife,Santa Cruz de Tenerife
Avenida,de los Majuelos,38107,La Laguna,Tenerife,Santa Cruz de Tenerife
Calle,León y Castillo,35500,Arrecife,Lanzarote,Las Palmas
Calle,Real,38760,Los Llanos de Aridane,La Palma,Santa Cruz de Tenerife
Avenida,Juan Carlos I,35600,Puerto del Rosario,Fuerteventura,Las Palmas
Calle,de la Constitución,38820,Hermigua,La Gomera,Santa Cruz de Tenerife
Calle,de la Playa,38914,Valverde,El Hierro,Santa Cruz de Tenerife
Avenida,de Las Playas,35510,Tías,Lanzarote,Las Palmas
